HistoricalPeakThreshold,ProbMethod,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
0.8,Historical IV,50-60%,0-7,206,131,63.59223300970874,1487,818,55.01008742434432,8.582145585364422
0.85,Weighted Average,80-90%,0-7,3868,3473,89.78800413650465,6915,5966,86.27621113521332,3.5117930012913376
0.85,Weighted Average,80-90%,15-21,6227,5652,90.76601894973503,7511,6566,87.41845293569432,3.3475660140407086
0.85,Weighted Average,80-90%,36+,12727,11800,92.71627249155338,14364,12878,89.65469228627123,3.061580205282155
0.85,Weighted Average,80-90%,22-28,3726,3470,93.12936124530327,4371,3945,90.25394646533974,2.875414779963535
0.85,Weighted Average,80-90%,29-35,1879,1737,92.44278871740286,2287,2032,88.85002186270223,3.5927668547006277
0.85,Weighted Average,80-90%,8-14,6895,6202,89.9492385786802,9008,7798,86.56749555950266,3.3817430191775344
0.85,Weighted Average,50-60%,0-7,1118,799,71.46690518783542,5546,3342,60.25964659213848,11.207258595696942
0.85,Weighted Average,50-60%,15-21,795,674,84.77987421383648,2693,1581,58.707760861492766,26.072113352343713
0.85,Weighted Average,50-60%,22-28,840,734,87.38095238095238,2113,1281,60.624704212020816,26.756248168931563
0.85,Weighted Average,50-60%,36+,3731,3256,87.26882873224336,8474,5057,59.676658012744866,27.592170719498498
0.85,Weighted Average,50-60%,29-35,583,482,82.67581475128645,1416,854,60.31073446327684,22.365080288009615
0.85,Weighted Average,50-60%,8-14,979,773,78.95812053115424,4741,2591,54.6509175279477,24.30720300320654
0.85,Weighted Average,70-80%,15-21,3871,3461,89.4084215964867,6340,4910,77.44479495268138,11.963626643805327
0.85,Weighted Average,70-80%,0-7,2049,1727,84.28501708150318,7051,5414,76.78343497376258,7.501582107740603
0.85,Weighted Average,70-80%,8-14,3934,3419,86.90899847483477,8381,6359,75.87400071590503,11.034997758929748
0.85,Weighted Average,70-80%,36+,9667,8701,90.00724112961622,13650,10907,79.9047619047619,10.10247922485432
0.85,Weighted Average,70-80%,22-28,2426,2203,90.80791426215994,3808,3026,79.46428571428571,11.343628547874232
0.85,Weighted Average,70-80%,29-35,1240,1128,90.96774193548387,1989,1586,79.73856209150327,11.229179843980603
0.85,Weighted Average,60-70%,15-21,2205,1973,89.47845804988663,5004,3408,68.10551558752998,21.372942462356647
0.85,Weighted Average,60-70%,0-7,1665,1308,78.55855855855856,6894,4627,67.11633304322599,11.442225515332566
0.85,Weighted Average,60-70%,22-28,1598,1435,89.79974968710889,3149,2180,69.22832645284217,20.571423234266717
