DataType|Stock|HistoricalPeakThreshold|ProbMethod|CurrentProb_Bin|DTE_Bin|RecoveryCandidate_N|RecoveryCandidate_WorthlessCount|RecoveryCandidate_WorthlessRate_pct|AllOptions_N|AllOptions_WorthlessCount|AllOptions_WorthlessRate_pct|RecoveryAdvantage_pp
scenario||0.85|Bias Corrected|60-70%|15-21|2549|2290|89.83915260886623|7068|4862|68.78890775325411|21.05024485561212
scenario||0.85|Bias Corrected|60-70%|0-7|2289|1841|80.42813455657493|10022|6853|68.3795649570944|12.04856959948053
scenario||0.85|Bias Corrected|60-70%|36+|7388|6450|87.30373578776394|13598|9656|71.01044271216355|16.29329307560039
scenario||0.85|Bias Corrected|60-70%|29-35|1332|1157|86.86186186186187|2612|1906|72.9709035222052|13.890958339656663
scenario||0.85|Bias Corrected|60-70%|8-14|3418|2811|82.24107665301345|11763|7837|66.62416050327298|15.616916149740476
scenario||0.85|Bias Corrected|50-60%|22-28|965|844|87.46113989637306|3153|1902|60.32350142721218|27.13763846916088
scenario||0.85|Bias Corrected|50-60%|0-7|1588|1101|69.33249370277078|8685|5167|59.49337938975244|9.839114313018335
scenario||0.85|Bias Corrected|50-60%|8-14|1357|1045|77.00810611643331|7285|4150|56.96636925188744|20.041736864545875
scenario||0.85|Bias Corrected|50-60%|15-21|954|846|88.67924528301887|4070|2493|61.253071253071255|27.426174029947617
scenario||0.85|Bias Corrected|50-60%|36+|3684|3239|87.92073832790444|9656|6100|63.17315658657829|24.74758174132615
scenario||0.85|Bias Corrected|50-60%|29-35|860|688|80.0|2289|1368|59.76408912188729|20.235910878112712
scenario||0.85|Historical IV|70-80%|22-28|2823|2487|88.09776833156216|4918|3867|78.62952419682799|9.468244134734178
